[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.56 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3025 | Grad: 0.14 | Mem: 278.2 MB
   Step  51/938 (  5.4%) | Loss: 0.5193 | Grad: 2.22 | Mem: 277.1 MB
   Step 101/938 ( 10.8%) | Loss: 0.2840 | Grad: 2.44 | Mem: 277.1 MB
   Step 151/938 ( 16.1%) | Loss: 0.3061 | Grad: 2.33 | Mem: 277.1 MB
   Step 201/938 ( 21.4%) | Loss: 0.5000 | Grad: 2.60 | Mem: 277.1 MB
   Step 251/938 ( 26.8%) | Loss: 0.2434 | Grad: 1.78 | Mem: 277.1 MB
   Step 301/938 ( 32.1%) | Loss: 0.2771 | Grad: 1.90 | Mem: 277.1 MB
   Step 351/938 ( 37.4%) | Loss: 0.0913 | Grad: 0.81 | Mem: 277.2 MB
   Step 401/938 ( 42.8%) | Loss: 0.5329 | Grad: 2.95 | Mem: 277.2 MB
   Step 451/938 ( 48.1%) | Loss: 0.3330 | Grad: 3.15 | Mem: 277.2 MB
   Step 501/938 ( 53.4%) | Loss: 0.4478 | Grad: 3.74 | Mem: 277.2 MB
   Step 551/938 ( 58.7%) | Loss: 0.1771 | Grad: 1.44 | Mem: 277.2 MB
   Step 601/938 ( 64.1%) | Loss: 0.2291 | Grad: 2.00 | Mem: 277.2 MB
   Step 651/938 ( 69.4%) | Loss: 0.1370 | Grad: 1.69 | Mem: 277.2 MB
   Step 701/938 ( 74.7%) | Loss: 0.1791 | Grad: 1.74 | Mem: 277.2 MB
   Step 751/938 ( 80.1%) | Loss: 0.2190 | Grad: 2.63 | Mem: 277.2 MB
   Step 801/938 ( 85.4%) | Loss: 0.1562 | Grad: 1.42 | Mem: 277.2 MB
   Step 851/938 ( 90.7%) | Loss: 0.1060 | Grad: 1.22 | Mem: 277.2 MB
   Step 901/938 ( 96.1%) | Loss: 0.2391 | Grad: 2.57 | Mem: 277.2 MB
   Step 938/938 (100.0%) | Loss: 0.0693 | Grad: 1.85 | Mem: 275.0 MB
[EVAL]  Validating...[RESULT] Epoch 1 Finished in 7.13s | Train Loss: 0.3338 | Test Acc: 95.33% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 2/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.1562 | Grad: 1.81 | Mem: 277.2 MB
   Step  51/938 (  5.4%) | Loss: 0.1492 | Grad: 1.65 | Mem: 277.2 MB
   Step 101/938 ( 10.8%) | Loss: 0.1451 | Grad: 1.82 | Mem: 277.2 MB
   Step 151/938 ( 16.1%) | Loss: 0.0640 | Grad: 1.10 | Mem: 277.2 MB
   Step 201/938 ( 21.4%) | Loss: 0.1128 | Grad: 1.22 | Mem: 277.2 MB
   Step 251/938 ( 26.8%) | Loss: 0.1517 | Grad: 1.81 | Mem: 277.2 MB
   Step 301/938 ( 32.1%) | Loss: 0.0944 | Grad: 1.38 | Mem: 277.2 MB
   Step 351/938 ( 37.4%) | Loss: 0.0856 | Grad: 1.25 | Mem: 277.3 MB
   Step 401/938 ( 42.8%) | Loss: 0.1072 | Grad: 2.27 | Mem: 277.3 MB
   Step 451/938 ( 48.1%) | Loss: 0.2104 | Grad: 2.60 | Mem: 277.3 MB
   Step 501/938 ( 53.4%) | Loss: 0.1324 | Grad: 1.87 | Mem: 277.3 MB
   Step 551/938 ( 58.7%) | Loss: 0.1176 | Grad: 1.54 | Mem: 277.3 MB
   Step 601/938 ( 64.1%) | Loss: 0.0478 | Grad: 1.05 | Mem: 277.3 MB
