[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.56 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3025 | Grad: 0.14 | Mem: 278.2 MB
   Step  51/938 (  5.4%) | Loss: 2.3025 | Grad: 0.14 | Mem: 277.1 MB
   Step 101/938 ( 10.8%) | Loss: 2.3026 | Grad: 0.11 | Mem: 277.1 MB
   Step 151/938 ( 16.1%) | Loss: 2.3024 | Grad: 0.08 | Mem: 277.1 MB
   Step 201/938 ( 21.4%) | Loss: 2.3024 | Grad: 0.09 | Mem: 277.1 MB
   Step 251/938 ( 26.8%) | Loss: 2.3026 | Grad: 0.12 | Mem: 277.1 MB
   Step 301/938 ( 32.1%) | Loss: 2.3025 | Grad: 0.11 | Mem: 277.1 MB
   Step 351/938 ( 37.4%) | Loss: 2.3022 | Grad: 0.09 | Mem: 277.2 MB
   Step 401/938 ( 42.8%) | Loss: 2.3025 | Grad: 0.16 | Mem: 277.2 MB
   Step 451/938 ( 48.1%) | Loss: 2.3029 | Grad: 0.15 | Mem: 277.2 MB
   Step 501/938 ( 53.4%) | Loss: 2.3024 | Grad: 0.11 | Mem: 277.2 MB
   Step 551/938 ( 58.7%) | Loss: 2.3026 | Grad: 0.12 | Mem: 277.2 MB
   Step 601/938 ( 64.1%) | Loss: 2.3023 | Grad: 0.13 | Mem: 277.2 MB
   Step 651/938 ( 69.4%) | Loss: 2.3026 | Grad: 0.10 | Mem: 277.2 MB
   Step 701/938 ( 74.7%) | Loss: 2.3019 | Grad: 0.15 | Mem: 277.2 MB
   Step 751/938 ( 80.1%) | Loss: 2.3019 | Grad: 0.12 | Mem: 277.2 MB
   Step 801/938 ( 85.4%) | Loss: 2.3025 | Grad: 0.14 | Mem: 277.2 MB
   Step 851/938 ( 90.7%) | Loss: 2.3019 | Grad: 0.12 | Mem: 277.2 MB
   Step 901/938 ( 96.1%) | Loss: 2.3030 | Grad: 0.12 | Mem: 277.2 MB
   Step 938/938 (100.0%) | Loss: 2.3015 | Grad: 0.23 | Mem: 275.0 MB
[EVAL]  Validating...[RESULT] Epoch 1 Finished in 5.94s | Train Loss: 2.3024 | Test Acc: 11.35% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 2/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3029 | Grad: 0.08 | Mem: 277.2 MB
