[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.53 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3025 | Grad: 0.14 | Mem: 221.8 MB
   Step  51/938 (  5.4%) | Loss: 0.5193 | Grad: 2.22 | Mem: 221.8 MB
   Step 101/938 ( 10.8%) | Loss: 0.2840 | Grad: 2.44 | Mem: 221.8 MB
   Step 151/938 ( 16.1%) | Loss: 0.3061 | Grad: 2.33 | Mem: 221.8 MB
   Step 201/938 ( 21.4%) | Loss: 0.5000 | Grad: 2.60 | Mem: 221.8 MB
   Step 251/938 ( 26.8%) | Loss: 0.2434 | Grad: 1.78 | Mem: 221.8 MB
   Step 301/938 ( 32.1%) | Loss: 0.2771 | Grad: 1.90 | Mem: 221.8 MB
   Step 351/938 ( 37.4%) | Loss: 0.0913 | Grad: 0.81 | Mem: 221.8 MB
   Step 401/938 ( 42.8%) | Loss: 0.5329 | Grad: 2.95 | Mem: 221.8 MB
   Step 451/938 ( 48.1%) | Loss: 0.3330 | Grad: 3.15 | Mem: 221.8 MB
   Step 501/938 ( 53.4%) | Loss: 0.4478 | Grad: 3.74 | Mem: 221.8 MB
   Step 551/938 ( 58.7%) | Loss: 0.1771 | Grad: 1.44 | Mem: 221.8 MB
   Step 601/938 ( 64.1%) | Loss: 0.2291 | Grad: 2.00 | Mem: 221.8 MB
   Step 651/938 ( 69.4%) | Loss: 0.1370 | Grad: 1.69 | Mem: 221.8 MB
   Step 701/938 ( 74.7%) | Loss: 0.1791 | Grad: 1.74 | Mem: 221.8 MB
   Step 751/938 ( 80.1%) | Loss: 0.2190 | Grad: 2.63 | Mem: 221.8 MB
   Step 801/938 ( 85.4%) | Loss: 0.1562 | Grad: 1.42 | Mem: 221.8 MB
   Step 851/938 ( 90.7%) | Loss: 0.1060 | Grad: 1.22 | Mem: 221.8 MB
   Step 901/938 ( 96.1%) | Loss: 0.2391 | Grad: 2.57 | Mem: 221.8 MB
   Step 938/938 (100.0%) | Loss: 0.0693 | Grad: 1.85 | Mem: 219.7 MB
[EVAL]  Validating...[RESULT] Epoch 1 Finished in 9.53s | Train Loss: 0.3338 | Test Acc: 95.33% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 2/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.1562 | Grad: 1.81 | Mem: 221.8 MB
   Step  51/938 (  5.4%) | Loss: 0.1492 | Grad: 1.65 | Mem: 221.8 MB
   Step 101/938 ( 10.8%) | Loss: 0.1451 | Grad: 1.82 | Mem: 221.8 MB
   Step 151/938 ( 16.1%) | Loss: 0.0640 | Grad: 1.10 | Mem: 221.8 MB
   Step 201/938 ( 21.4%) | Loss: 0.1128 | Grad: 1.22 | Mem: 221.9 MB
   Step 251/938 ( 26.8%) | Loss: 0.1517 | Grad: 1.81 | Mem: 221.9 MB
   Step 301/938 ( 32.1%) | Loss: 0.0944 | Grad: 1.38 | Mem: 221.9 MB
   Step 351/938 ( 37.4%) | Loss: 0.0856 | Grad: 1.25 | Mem: 221.9 MB
   Step 401/938 ( 42.8%) | Loss: 0.1072 | Grad: 2.27 | Mem: 221.9 MB
   Step 451/938 ( 48.1%) | Loss: 0.2104 | Grad: 2.60 | Mem: 221.9 MB
   Step 501/938 ( 53.4%) | Loss: 0.1324 | Grad: 1.87 | Mem: 221.9 MB
   Step 551/938 ( 58.7%) | Loss: 0.1176 | Grad: 1.54 | Mem: 221.9 MB
   Step 601/938 ( 64.1%) | Loss: 0.0478 | Grad: 1.05 | Mem: 221.9 MB
   Step 651/938 ( 69.4%) | Loss: 0.0931 | Grad: 1.86 | Mem: 221.9 MB
   Step 701/938 ( 74.7%) | Loss: 0.0974 | Grad: 1.16 | Mem: 221.9 MB
   Step 751/938 ( 80.1%) | Loss: 0.0253 | Grad: 0.72 | Mem: 221.9 MB
   Step 801/938 ( 85.4%) | Loss: 0.1755 | Grad: 1.87 | Mem: 221.9 MB
   Step 851/938 ( 90.7%) | Loss: 0.0383 | Grad: 0.91 | Mem: 221.9 MB
   Step 901/938 ( 96.1%) | Loss: 0.1555 | Grad: 2.11 | Mem: 221.9 MB
   Step 938/938 (100.0%) | Loss: 0.0119 | Grad: 0.29 | Mem: 219.8 MB
[EVAL]  Validating...[RESULT] Epoch 2 Finished in 9.83s | Train Loss: 0.1323 | Test Acc: 97.07% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 3/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.0259 | Grad: 0.69 | Mem: 221.9 MB
   Step  51/938 (  5.4%) | Loss: 0.2887 | Grad: 2.48 | Mem: 221.9 MB
   Step 101/938 ( 10.8%) | Loss: 0.0305 | Grad: 0.81 | Mem: 221.9 MB
   Step 151/938 ( 16.1%) | Loss: 0.0528 | Grad: 1.09 | Mem: 221.9 MB
   Step 201/938 ( 21.4%) | Loss: 0.1074 | Grad: 1.83 | Mem: 221.9 MB
   Step 251/938 ( 26.8%) | Loss: 0.0983 | Grad: 1.38 | Mem: 221.9 MB
   Step 301/938 ( 32.1%) | Loss: 0.0376 | Grad: 0.64 | Mem: 221.9 MB
   Step 351/938 ( 37.4%) | Loss: 0.0343 | Grad: 0.67 | Mem: 221.9 MB
   Step 401/938 ( 42.8%) | Loss: 0.0644 | Grad: 1.20 | Mem: 221.9 MB
   Step 451/938 ( 48.1%) | Loss: 0.1157 | Grad: 1.81 | Mem: 221.9 MB
   Step 501/938 ( 53.4%) | Loss: 0.0631 | Grad: 1.31 | Mem: 221.9 MB
   Step 551/938 ( 58.7%) | Loss: 0.2663 | Grad: 3.16 | Mem: 221.9 MB
   Step 601/938 ( 64.1%) | Loss: 0.0993 | Grad: 1.74 | Mem: 221.9 MB
   Step 651/938 ( 69.4%) | Loss: 0.0910 | Grad: 1.33 | Mem: 222.0 MB
   Step 701/938 ( 74.7%) | Loss: 0.0437 | Grad: 0.51 | Mem: 222.0 MB
   Step 751/938 ( 80.1%) | Loss: 0.0378 | Grad: 1.09 | Mem: 222.0 MB
   Step 801/938 ( 85.4%) | Loss: 0.0196 | Grad: 0.61 | Mem: 222.0 MB
   Step 851/938 ( 90.7%) | Loss: 0.2537 | Grad: 2.26 | Mem: 222.0 MB
   Step 901/938 ( 96.1%) | Loss: 0.0516 | Grad: 0.83 | Mem: 222.0 MB
   Step 938/938 (100.0%) | Loss: 0.0541 | Grad: 1.60 | Mem: 219.8 MB
[EVAL]  Validating...[RESULT] Epoch 3 Finished in 9.78s | Train Loss: 0.0945 | Test Acc: 97.03% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 4/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.0207 | Grad: 0.53 | Mem: 222.0 MB
   Step  51/938 (  5.4%) | Loss: 0.1522 | Grad: 1.27 | Mem: 222.0 MB
   Step 101/938 ( 10.8%) | Loss: 0.0391 | Grad: 1.13 | Mem: 222.0 MB
   Step 151/938 ( 16.1%) | Loss: 0.0680 | Grad: 1.82 | Mem: 222.0 MB
