[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.56 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3025 | Grad: 0.14 | Mem: 278.8 MB
   Step  51/938 (  5.4%) | Loss: 2.3022 | Grad: 0.14 | Mem: 277.1 MB
   Step 101/938 ( 10.8%) | Loss: 2.3026 | Grad: 0.11 | Mem: 277.1 MB
   Step 151/938 ( 16.1%) | Loss: 2.3017 | Grad: 0.07 | Mem: 277.1 MB
   Step 201/938 ( 21.4%) | Loss: 2.3011 | Grad: 0.09 | Mem: 277.1 MB
   Step 251/938 ( 26.8%) | Loss: 2.3029 | Grad: 0.12 | Mem: 277.1 MB
   Step 301/938 ( 32.1%) | Loss: 2.3009 | Grad: 0.11 | Mem: 277.1 MB
   Step 351/938 ( 37.4%) | Loss: 2.2997 | Grad: 0.09 | Mem: 277.1 MB
   Step 401/938 ( 42.8%) | Loss: 2.3018 | Grad: 0.16 | Mem: 277.1 MB
   Step 451/938 ( 48.1%) | Loss: 2.3049 | Grad: 0.15 | Mem: 277.2 MB
   Step 501/938 ( 53.4%) | Loss: 2.3005 | Grad: 0.11 | Mem: 277.2 MB
   Step 551/938 ( 58.7%) | Loss: 2.3020 | Grad: 0.12 | Mem: 277.2 MB
   Step 601/938 ( 64.1%) | Loss: 2.3003 | Grad: 0.14 | Mem: 277.2 MB
   Step 651/938 ( 69.4%) | Loss: 2.3019 | Grad: 0.11 | Mem: 277.2 MB
   Step 701/938 ( 74.7%) | Loss: 2.2957 | Grad: 0.16 | Mem: 277.2 MB
   Step 751/938 ( 80.1%) | Loss: 2.2956 | Grad: 0.12 | Mem: 277.2 MB
   Step 801/938 ( 85.4%) | Loss: 2.2977 | Grad: 0.16 | Mem: 277.2 MB
   Step 851/938 ( 90.7%) | Loss: 2.2931 | Grad: 0.14 | Mem: 277.2 MB
   Step 901/938 ( 96.1%) | Loss: 2.2976 | Grad: 0.17 | Mem: 277.2 MB
   Step 938/938 (100.0%) | Loss: 2.2865 | Grad: 0.27 | Mem: 275.0 MB
[EVAL]  Validating...[RESULT] Epoch 1 Finished in 5.63s | Train Loss: 2.3000 | Test Acc: 18.60% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 2/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.2921 | Grad: 0.15 | Mem: 277.2 MB
   Step  51/938 (  5.4%) | Loss: 2.2839 | Grad: 0.17 | Mem: 277.2 MB
   Step 101/938 ( 10.8%) | Loss: 2.2681 | Grad: 0.25 | Mem: 277.2 MB
   Step 151/938 ( 16.1%) | Loss: 2.2526 | Grad: 0.32 | Mem: 277.2 MB
   Step 201/938 ( 21.4%) | Loss: 2.2119 | Grad: 0.46 | Mem: 277.2 MB
   Step 251/938 ( 26.8%) | Loss: 2.0652 | Grad: 0.81 | Mem: 277.2 MB
